Rank,Name,Link,Location_City,Location_State,Private_Public,Profit_Type,Campus_Setting,Starting_Salary,Percent_from_State,Percent_FTE,Percent_Male,Accept_rate,Old_SAT_Score,New_SAT_Score,ACT_Score,Num_Undergrad,Num_Faculty,Student_Faculty_Ratio,Num_Degree,Num_Major,Num_Field,Num_Annual_Grad,Percent_POC,Tuition_Fee,Room_Fee,Total_Cost,Financial_Aid
387,Randolph - Macon College,randolph-macon-college,Ashland, Virginia,Private,Non-Profit,Large Suburb,38000.0,74,64,46,62.2,,,24.0,1453,170,11,36,31,16,343,23.124569855471435,40000,11480,54180,25338
388,Drew University,drew-university,Madison, New Jersey,Private,Non-Profit,Large Suburb,39000.0,60,60,43,63.4,,,,1537,248,10,32,28,15,353,49.44697462589461,49168,13696,66186,35351
389,Howard University,howard-university,Washington, District of Columbia,Private,Non-Profit,Large City,42000.0,2,75,31,41.4,,,25.0,6354,1001,8,74,64,22,1355,98.55209316965693,25697,13504,43201,20427
390,George Fox University,george-fox-university,Newberg, Oregon,Private,Non-Profit,Small Town,41000.0,49,36,43,81.9,,,24.0,2698,554,14,50,47,21,683,30.13343217197925,35016,10886,48902,17754
391,The College of Saint Scholastica,the-college-of-saint-scholastica,Duluth, Minnesota,Private,Non-Profit,Small City,,85,52,29,68.2,,,23.0,2676,392,14,45,37,19,889,15.807174887892373,36212,9522,49104,23314
392,University of Rhode Island,university-of-rhode-island,Kingston, Rhode Island,Public,,Large Suburb,41000.0,44,66,44,70.1,,,24.0,15107,1145,17,74,66,24,3440,28.827695770172767,13792,12452,29485,10834
393,University of Arkansas,university-of-arkansas,Fayetteville, Arkansas,Public,,Small City,38000.0,50,86,47,66.0,,,26.0,23044,1393,18,76,70,25,4795,24.114737024822077,9062,10704,24916,6629
394,Agnes Scott College,agnes-scott-college,Decatur, Georgia,Private,Non-Profit,Large Suburb,,51,67,0,65.6,,,,921,122,10,34,29,14,234,65.25515743756786,39960,11970,54065,29066
395,Salisbury University,salisbury-university,Salisbury, Maryland,Public,,Small Suburb,39000.0,81,65,44,65.0,,,,7782,664,16,44,39,20,2090,29.979439732716532,9582,11480,25062,5527
396,University of Mary Washington,university-of-mary-washington,Fredericksburg, Virginia,Public,,Midsize Suburb,44000.0,90,63,36,73.5,,,24.0,4398,404,14,29,27,16,1069,30.718508412914964,12188,10911,27530,5562
