Link,Name,Rank
emerson-college,Emerson College,295
rutgers-university-camden,Rutgers University - Camden,296
thomas-aquinas-college,Thomas Aquinas College,297
concordia-college-at-moorhead,Concordia College at Moorhead,298
oregon-state-university,Oregon State University,299
california-maritime-academy,California State University Maritime Academy,300
university-of-south-florida-main-campus,University of South Florida - Main Campus,301
university-of-maryland-baltimore-county,University of Maryland - Baltimore County,302
mercer-university,Mercer University,303
assumption-college,Assumption College,304
illinois-state-university,Illinois State University,305
cuny-bernard-m-baruch-college,CUNY Bernard M Baruch College,306
colorado-state-university-fort-collins,Colorado State University - Fort Collins,307
valparaiso-university,Valparaiso University,308
university-of-st-thomas-texas,University of St. Thomas,309
suny-at-albany,University at Albany,310
spelman-college,Spelman College,311
arizona-state-university,Arizona State University - Tempe,312
lebanon-valley-college,Lebanon Valley College,313
university-of-evansville,University of Evansville,314
baptist-memorial-college-of-health-sciences,Baptist Memorial College of Health Sciences,315
bethel-university-minnesota,Bethel University Minnesota,316
pacific-lutheran-university,Pacific Lutheran University,317
the-university-of-alabama,The University of Alabama,318
university-of-massachusetts-lowell,University of Massachusetts - Lowell,319
point-loma-nazarene-university,Point Loma Nazarene University,320
california-lutheran-university,California Lutheran University,321
ramapo-college-of-new-jersey,Ramapo College of New Jersey,322
chamberlain-college-of-nursing-texas,Chamberlain University - Texas,323
suny-maritime-college,SUNY Maritime College,324
university-of-arizona,University of Arizona,325
university-of-dallas,University of Dallas,326
augustana-college-south-dakota,Augustana University,327
roger-williams-university,Roger Williams University,328
university-of-washington-bothell-campus,University of Washington - Bothell Campus,329
union-university,Union University,330
hanover-college,Hanover College,331
university-of-houston,University of Houston,332
westminster-college-utah,Westminster College Utah,333
christopher-newport-university,Christopher Newport University,334
gannon-university,Gannon University,335
mills-college,Mills College,336
university-of-north-dakota,University of North Dakota,337
transylvania-university,Transylvania University,338
university-of-wyoming,University of Wyoming,339
bard-college,Bard College,340
roanoke-college,Roanoke College,341
st-johns-college-maryland,St John's College,342
san-diego-state-university,San Diego State University,343
western-new-england-university,Western New England University,344
truman-state-university,Truman State University,345
biola-university,Biola University,346
seattle-pacific-university,Seattle Pacific University,347
nebraska-methodist-college-of-nursing-and-allied-health,Nebraska Methodist College of Nursing & Allied Health,348
regis-university,Regis University,349
misericordia-university,Misericordia University,350
clarkson-college,Clarkson College,351
knox-college,Knox College,352
kansas-state-university,Kansas State University,353
belmont-university,Belmont University,354
coe-college,Coe College,355
whitworth-university,Whitworth University,356
john-brown-university,John Brown University,357
wentworth-institute-of-technology,Wentworth Institute of Technology,358
south-dakota-school-of-mines-and-technology,South Dakota School of Mines and Technology,359
trinity-college-of-nursing-and-health-sciences,Trinity College of Nursing & Health Sciences,360
the-juilliard-school,The Juilliard School,361
cedarville-university,Cedarville University,362
covenant-college,Covenant College,363
salve-regina-university,Salve Regina University,364
university-of-colorado-denver,University of Colorado Denver/Anschutz Medical Campus,365
sacred-heart-university,Sacred Heart University,366
rockhurst-university,Rockhurst University,367
saint-vincent-college,Saint Vincent College,368
millsaps-college,Millsaps College,369
north-dakota-state-university-main-campus,North Dakota State University - Main Campus,370
university-of-central-florida,University of Central Florida,371
university-of-california-merced,University of California - Merced,372
west-chester-university-of-pennsylvania,West Chester University of Pennsylvania,373
western-washington-university,Western Washington University,374
cornell-college,Cornell College,375
carroll-college,Carroll College,376
ohio-wesleyan-university,Ohio Wesleyan University,377
university-of-mississippi-main-campus,University of Mississippi,378
university-of-cincinnati-main-campus,University of Cincinnati - Main Campus,379
suny-institute-of-technology-at-utica-rome,SUNY Polytechnic Institute,380
university-of-northern-iowa,University of Northern Iowa,381
nova-southeastern-university,Nova Southeastern University,382
university-of-wisconsin-la-crosse,University of Wisconsin - La Crosse,383
saint-francis-university,Saint Francis University,384
art-center-college-of-design,Art Center College of Design,385
hendrix-college,Hendrix College,386
randolph-macon-college,Randolph - Macon College,387
drew-university,Drew University,388
howard-university,Howard University,389
george-fox-university,George Fox University,390
the-college-of-saint-scholastica,The College of Saint Scholastica,391
university-of-rhode-island,University of Rhode Island,392
university-of-arkansas,University of Arkansas,393
agnes-scott-college,Agnes Scott College,394
salisbury-university,Salisbury University,395
university-of-mary-washington,University of Mary Washington,396
moravian-college-and-moravian-theological-seminary,Moravian College,397
st-johns-university-new-york,St John's University - New York,398
university-of-north-carolina-school-of-the-arts,University of North Carolina School of the Arts,399
pennsylvania-state-university-penn-state-erie-behrend-college,Pennsylvania State University - Erie - Behrend College,400
ringling-college-of-art-and-design,Ringling College of Art and Design,401
virginia-commonwealth-university,Virginia Commonwealth University,402
arizona-state-university-west,Arizona State University - West,403
rowan-university,Rowan University,404
digipen-institute-of-technology,DigiPen Institute of Technology,405
texas-tech-university,Texas Tech University,406
north-central-college,North Central College,407
florida-institute-of-technology,Florida Institute of Technology,408
shenandoah-university,Shenandoah University,409
university-of-minnesota-rochester,University of Minnesota - Rochester,410
austin-college,Austin College,411
saint-edwards-university,Saint Edward's University,412
central-college,Central College,413
taylor-university,Taylor University,414
eckerd-college,Eckerd College,415
university-of-north-carolina-at-wilmington,University of North Carolina at Wilmington,416
pacific-university,Pacific University,417
mount-carmel-college-of-nursing,Mount Carmel College of Nursing,418
canisius-college,Canisius College,419
oklahoma-state-university-main-campus,Oklahoma State University - Main Campus,420
franciscan-university-of-steubenville,Franciscan University of Steubenville,421
whittier-college,Whittier College,422
university-of-nevada-reno,University of Nevada - Reno,423
stetson-university,Stetson University,424
oklahoma-city-university,Oklahoma City University,425
rider-university,Rider University,426
lewis-university,Lewis University,427
azusa-pacific-university,Azusa Pacific University,428
suffolk-university,Suffolk University,429
merrimack-college,Merrimack College,430
college-of-charleston,College of Charleston,431
university-of-michigan-dearborn,University of Michigan - Dearborn,432
albion-college,Albion College,433
university-of-alabama-at-birmingham,University of Alabama at Birmingham,434
university-of-washington-tacoma-campus,University of Washington - Tacoma Campus,435
university-of-hawaii-at-manoa,University of Hawaii at Manoa,436
goucher-college,Goucher College,437
wagner-college,Wagner College,438
hamline-university,Hamline University,439
nazareth-college,Nazareth College,440
fashion-institute-of-technology,Fashion Institute of Technology,441
simpson-college,Simpson College,442
walla-walla-university,Walla Walla University,443
appalachian-state-university,Appalachian State University,444
desales-university,DeSales University,445
maryville-university-of-saint-louis,Maryville University of Saint Louis,446
the-new-england-conservatory-of-music,The New England Conservatory of Music,447
university-of-wisconsin-eau-claire,University of Wisconsin - Eau Claire,448
endicott-college,Endicott College,449
state-university-of-new-york-at-new-paltz,SUNY New Paltz,450
california-state-polytechnic-university-pomona,California State Polytechnic University - Pomona,451
kettering-college,Kettering College,452
ripon-college,Ripon College,453
saint-bonaventure-university,St. Bonaventure University,454
saint-joseph-college,University of Saint Joseph,455
baldwin-wallace-college,Baldwin Wallace University,456
suny-college-at-oneonta,SUNY Oneonta,457
university-of-minnesota-duluth,University of Minnesota - Duluth,458
st-catherine-university,St Catherine University,459
philadelphia-university,Thomas Jefferson University,460
new-mexico-institute-of-mining-and-technology,New Mexico Institute of Mining and Technology,461
sarah-lawrence-college,Sarah Lawrence College,462
wilkes-university,Wilkes University,463
robert-morris-university,Robert Morris University,464
lipscomb-university,Lipscomb University,465
harding-university,Harding University,466
new-york-institute-of-technology,New York Institute of Technology,467
westminster-college-pa,Westminster College Pennsylvania,468
monmouth-university,Monmouth University,469
springfield-college,Springfield College,470
pratt-institute-main,Pratt Institute - Main,471
marietta-college,Marietta College,472
arizona-state-university-downtown-phoenix,Arizona State University - Downtown Phoenix,473
good-samaritan-college-of-nursing-and-health-science,Good Samaritan College of Nursing & Health Science,474
bellarmine-university,Bellarmine University,475
california-state-university-long-beach,California State University - Long Beach,476
milligan-college,Milligan College,477
berry-college,Berry College,478
towson-university,Towson University,479
mercy-college-of-ohio,Mercy College of Ohio,480
the-university-of-findlay,The University of Findlay,481
kings-college,King's College,482
pennsylvania-state-university-penn-state-harrisburg,Pennsylvania State University - Harrisburg,483
suny-college-at-cortland,SUNY Cortland,484
university-of-louisville,University of Louisville,485
university-of-hartford,University of Hartford,486
st-marys-university,St. Mary's University,487
lancaster-general-college-of-nursing-and-health-sciences,Pennsylvania College of Health Sciences,488
california-institute-of-the-arts,California Institute of the Arts,489
pennsylvania-state-university-penn-state-altoona,Pennsylvania State University - Altoona,490
university-of-houston-clear-lake,University of Houston - Clear Lake,491
san-jose-state-university,San Jose State University,492
university-of-new-haven,University of New Haven,493
lawrence-technological-university,Lawrence Technological University,494
la-salle-university,La Salle University,495
saint-ambrose-university,Saint Ambrose University,496
florida-international-university,Florida International University,497
neumont-university,Neumont College of Computer Science,498
university-of-la-verne,University of La Verne,499
pace-university-new-york,Pace University - New York,500
california-state-university-chico,California State University - Chico,501
gordon-college,Gordon College,502
loyola-university-new-orleans,Loyola University New Orleans,503
indiana-wesleyan-university,Indiana Wesleyan University,504
alma-college,Alma College,505
william-jewell-college,William Jewell College,506
the-richard-stockton-college-of-new-jersey,Stockton University,507
university-of-new-england,University of New England,508
widener-university-main-campus,Widener University,509
the-new-school,The New School,510
lycoming-college,Lycoming College,511
the-university-of-tampa,The University of Tampa,512
birmingham-southern-college,Birmingham Southern College,513
abilene-christian-university,Abilene Christian University,514
east-carolina-university,East Carolina University,515
west-coast-university-los-angeles,West Coast University - Los Angeles,516
earlham-college,Earlham College,517
pennsylvania-state-university-penn-state-hazleton,Pennsylvania State University - Hazleton,518
university-of-missouri-kansas-city,University of Missouri - Kansas City,519
emmanuel-college-massachusetts,Emmanuel College Massachusetts,520
mount-st-marys-university,Mount St Mary's University,521
grand-valley-state-university,Grand Valley State University,522
university-of-massachusetts-boston,University of Massachusetts - Boston,523
roberts-wesleyan-college,Roberts Wesleyan College,524
letourneau-university,LeTourneau University,525
university-of-north-carolina-at-charlotte,University of North Carolina at Charlotte,526
cabarrus-college-of-health-sciences,Cabarrus College of Health Sciences,527
dordt-college,Dordt College,528
pennsylvania-state-university-penn-state-wilkes-barre,Pennsylvania State University - Wilkes - Barre,529
otterbein-university,Otterbein University,530
university-of-st-francis,University of St Francis,531
houghton-college,Houghton College,532
chatham-university,Chatham University,533
mount-st-marys-college,Mount Saint Mary's University,534
arizona-state-university-polytechnic,Arizona State University - Polytechnic,535
university-of-illinois-at-springfield,University of Illinois at Springfield,536
st-johns-college-new-mexico,St. John's College,537
dyouville-college,D'Youville College,538
wartburg-college,Wartburg College,539
university-of-south-florida-sarasota-manatee,University of South Florida Sarasota - Manatee,540
bennington-college,Bennington College,541
georgia-college-and-state-university,Georgia College & State University,542
nebraska-wesleyan-university,Nebraska Wesleyan University,543
chamberlain-college-of-nursing-virginia,Chamberlain University - Virginia,544
goshen-college,Goshen College,545
dominican-university,Dominican University,546
winona-state-university,Winona State University,547
university-of-new-hampshire-at-manchester,University of New Hampshire at Manchester,548
trinity-christian-college,Trinity Christian College,549
west-coast-university-orange-county,West Coast University - Orange County,550
iona-college,Iona College,551
culinary-institute-of-america,Culinary Institute of America,552
augsburg-college,Augsburg University,553
university-of-idaho,University of Idaho,554
oregon-institute-of-technology,Oregon Institute of Technology,555
methodist-college,Methodist College,556
university-of-alabama-at-huntsville,University of Alabama in Huntsville,557
sweet-briar-college,Sweet Briar College,558
maryland-institute-college-of-art,Maryland Institute College of Art,559
new-york-school-of-interior-design,New York School of Interior Design,560
west-virginia-university,West Virginia University,561
edgewood-college,Edgewood College,562
university-of-minnesota-morris,University of Minnesota - Morris,563
champlain-college,Champlain College,564
pennsylvania-state-university-penn-state-dubois,Pennsylvania State University - Dubois,565
doane-college-crete,Doane University,566
mcdaniel-college,McDaniel College,567
south-dakota-state-university,South Dakota State University,568
suny-college-at-oswego,SUNY Oswego,569
york-college-pennsylvania,York College of Pennsylvania,570
high-point-university,High Point University,571
waynesburg-university,Waynesburg University,572
niagara-university,Niagara University,573
elmhurst-college,Elmhurst College,574
suny-college-at-plattsburgh,SUNY Plattsburgh,575
longwood-university,Longwood University,576
dallas-baptist-university,Dallas Baptist University,577
ball-state-university,Ball State University,578
slippery-rock-university-of-pennsylvania,Slippery Rock University of Pennsylvania,579
